3_levels,5_levels,7_levels,consumption,temperature,hour_of_day,day_of_week,day_of_month,month_of_year
2,3,4,0.76,-11.4,20,7,3,1
2,3,4,0.687,-11.7,21,7,3,1
2,2,3,0.544,-11.7,22,7,3,1
1,1,2,0.354,-11.9,23,7,3,1
1,1,1,0.295,-11.9,24,7,3,1
1,1,1,0.295,-11.8,1,1,4,1
1,1,1,0.291,-11.8,2,1,4,1
1,1,1,0.29,-11.3,3,1,4,1
1,1,1,0.32,-10.8,4,1,4,1
1,1,1,0.292,-10.3,5,1,4,1
1,2,2,0.37,-9.9,6,1,4,1
2,2,3,0.526,-9.6,7,1,4,1
2,3,4,0.729,-9.3,8,1,4,1
3,4,5,0.821,-9,9,1,4,1
3,4,6,0.85,-8.8,10,1,4,1
3,4,5,0.826,-8.5,11,1,4,1
3,4,6,0.857,-8.7,12,1,4,1
3,4,6,0.866,-8.3,13,1,4,1
3,4,6,0.845,-8.2,14,1,4,1
3,4,6,0.853,-7.8,15,1,4,1
3,5,6,0.889,-7.9,16,1,4,1
3,5,6,0.88,-7.8,17,1,4,1
3,4,6,0.86,-7.7,18,1,4,1
3,4,6,0.846,-8,19,1,4,1
3,4,5,0.824,-7.9,20,1,4,1
2,4,5,0.791,-7.9,21,1,4,1
2,2,3,0.597,-7.7,22,1,4,1
1,2,2,0.39,-8,23,1,4,1
1,1,1,0.323,-8.2,24,1,4,1
1,1,1,0.318,-8.1,1,2,5,1
1,1,1,0.325,-8,2,2,5,1
1,1,1,0.32,-8,3,2,5,1
1,1,2,0.346,-8,4,2,5,1
1,1,1,0.322,-7.6,5,2,5,1
1,1,2,0.347,-7.5,6,2,5,1
2,2,3,0.582,-7.6,7,2,5,1
2,3,4,0.679,-7.7,8,2,5,1
2,3,4,0.739,-7.7,9,2,5,1
3,4,5,0.823,-7.7,10,2,5,1
3,4,5,0.815,-7.2,11,2,5,1
3,4,5,0.819,-6.3,12,2,5,1
3,4,5,0.811,-5.6,13,2,5,1
2,4,5,0.805,-5.6,14,2,5,1
2,4,5,0.805,-6.1,15,2,5,1
2,4,5,0.805,-5,16,2,5,1
3,4,5,0.812,-4.9,17,2,5,1
3,4,5,0.822,-6.7,18,2,5,1
2,4,5,0.806,-8.1,19,2,5,1
2,4,5,0.782,-8.7,20,2,5,1
2,3,4,0.731,-12.2,21,2,5,1
2,2,3,0.583,-12.7,22,2,5,1
1,2,2,0.409,-12,23,2,5,1
1,2,2,0.369,-13.3,24,2,5,1
1,1,2,0.351,-12.7,1,3,6,1
1,1,1,0.322,-10.9,2,3,6,1
1,1,1,0.32,-9.8,3,3,6,1
1,1,1,0.333,-9.4,4,3,6,1
1,1,1,0.327,-7.8,5,3,6,1
1,2,2,0.386,-7.8,6,3,6,1
1,2,3,0.516,-7.9,7,3,6,1
2,3,3,0.663,-7.6,8,3,6,1
2,4,5,0.788,-6.7,9,3,6,1
3,4,6,0.835,-5.8,10,3,6,1
3,4,6,0.859,-5,11,3,6,1
3,4,6,0.871,-4.5,12,3,6,1
3,4,6,0.862,-2.9,13,3,6,1
3,5,6,0.881,-2.6,14,3,6,1
3,4,6,0.854,-1.7,15,3,6,1
3,4,6,0.835,-1,16,3,6,1
3,4,5,0.811,-0.3,17,3,6,1
2,4,5,0.792,0,18,3,6,1
3,4,6,0.827,0.2,19,3,6,1
2,4,5,0.783,0.4,20,3,6,1
2,3,4,0.749,0.6,21,3,6,1
2,2,3,0.568,0.8,22,3,6,1
1,2,2,0.394,1,23,3,6,1
1,1,1,0.318,1.4,24,3,6,1
1,1,1,0.307,1.7,1,4,7,1
1,1,1,0.32,2,2,4,7,1
1,1,1,0.308,2.3,3,4,7,1
1,1,1,0.315,2.3,4,4,7,1
1,1,1,0.324,2.5,5,4,7,1
1,2,2,0.373,2.7,6,4,7,1
2,2,3,0.546,2.8,7,4,7,1
2,3,3,0.671,2.7,8,4,7,1
3,4,5,0.824,2.4,9,4,7,1
3,5,6,0.889,2.3,10,4,7,1
3,5,6,0.905,2.6,11,4,7,1
3,5,6,0.877,3.1,12,4,7,1
3,5,6,0.882,3,13,4,7,1
3,5,6,0.9,3.5,14,4,7,1
3,5,6,0.906,2.9,15,4,7,1
3,5,6,0.878,2.4,16,4,7,1
3,4,6,0.861,1.8,17,4,7,1
3,4,6,0.863,1.7,18,4,7,1
2,4,5,0.803,1.3,19,4,7,1
2,3,5,0.774,1.1,20,4,7,1
2,3,4,0.75,1.1,21,4,7,1
2,2,3,0.568,0.9,22,4,7,1
1,2,2,0.371,0.8,23,4,7,1
1,1,1,0.301,0.7,24,4,7,1
1,1,1,0.286,0.6,1,5,8,1
1,1,1,0.289,0.6,2,5,8,1
1,1,1,0.287,-0.6,3,5,8,1
1,1,1,0.285,0.1,4,5,8,1
1,1,1,0.292,0.4,5,5,8,1
1,1,2,0.353,-0.2,6,5,8,1
1,2,3,0.501,-0.7,7,5,8,1
2,3,3,0.667,-0.9,8,5,8,1
3,4,6,0.828,-1.2,9,5,8,1
3,5,6,0.882,-1.4,10,5,8,1
3,5,6,0.897,0.1,11,5,8,1
3,5,7,0.954,1.3,12,5,8,1
3,5,6,0.924,3.7,13,5,8,1
3,5,6,0.913,4.6,14,5,8,1
3,5,6,0.901,6.3,15,5,8,1
3,4,6,0.839,6.8,16,5,8,1
3,4,6,0.849,6.8,17,5,8,1
3,4,6,0.84,5.3,18,5,8,1
3,4,5,0.813,2.3,19,5,8,1
3,4,5,0.815,-1.6,20,5,8,1
2,3,5,0.778,-2.2,21,5,8,1
2,2,3,0.586,-3.2,22,5,8,1
1,2,2,0.384,-2.8,23,5,8,1
1,1,1,0.312,-1.7,24,5,8,1
1,1,1,0.296,-2.7,1,6,9,1
1,1,1,0.295,-2.7,2,6,9,1
1,1,1,0.295,-3.7,3,6,9,1
1,1,1,0.283,-2.7,4,6,9,1
1,1,1,0.274,-5.5,5,6,9,1
1,1,2,0.345,-3.9,6,6,9,1
1,2,3,0.491,-3.8,7,6,9,1
2,3,3,0.656,-3,8,6,9,1
2,3,4,0.769,-2.3,9,6,9,1
3,4,6,0.845,-1.8,10,6,9,1
3,4,5,0.822,-0.7,11,6,9,1
3,4,6,0.847,0.3,12,6,9,1
3,5,6,0.891,1.8,13,6,9,1
3,5,6,0.91,2.4,14,6,9,1
3,4,6,0.872,2.6,15,6,9,1
3,4,6,0.861,3.1,16,6,9,1
3,4,6,0.844,3,17,6,9,1
3,4,6,0.846,2.6,18,6,9,1
3,4,6,0.844,1.7,19,6,9,1
3,4,5,0.82,1.8,20,6,9,1
2,3,5,0.771,1.2,21,6,9,1
2,2,3,0.575,-0.9,22,6,9,1
1,1,2,0.351,-0.1,23,6,9,1
1,1,1,0.298,-0.1,24,6,9,1
1,1,1,0.282,-0.2,1,7,10,1
1,1,1,0.292,-1.2,2,7,10,1
1,1,1,0.291,-1.2,3,7,10,1
1,1,1,0.316,-1.7,4,7,10,1
1,1,1,0.298,-0.9,5,7,10,1
1,1,2,0.353,-0.4,6,7,10,1
1,2,3,0.493,-1.2,7,7,10,1
2,2,3,0.574,-1.2,8,7,10,1
2,3,4,0.75,-0.8,9,7,10,1
2,4,5,0.797,0.6,10,7,10,1
3,4,6,0.867,2.5,11,7,10,1
3,4,6,0.864,3.6,12,7,10,1
3,4,6,0.873,4.8,13,7,10,1
3,5,6,0.877,6.4,14,7,10,1
3,4,6,0.849,6.5,15,7,10,1
3,4,6,0.856,7.1,16,7,10,1
3,4,6,0.83,6.4,17,7,10,1
2,4,5,0.797,5.7,18,7,10,1
3,4,5,0.812,4.8,19,7,10,1
2,3,4,0.728,4.4,20,7,10,1
2,2,3,0.621,4.3,21,7,10,1
2,2,3,0.539,4.1,22,7,10,1
1,1,2,0.36,3.5,23,7,10,1
1,1,1,0.308,3.4,24,7,10,1
1,1,1,0.302,2.8,1,1,11,1
1,1,1,0.308,2.2,2,1,11,1
1,1,1,0.311,1.8,3,1,11,1
1,1,1,0.309,1.5,4,1,11,1
1,1,1,0.306,1.4,5,1,11,1
1,1,2,0.361,1.3,6,1,11,1
2,2,3,0.534,1.1,7,1,11,1
2,3,3,0.634,0.9,8,1,11,1
2,3,4,0.706,1.5,9,1,11,1
2,4,5,0.782,2.4,10,1,11,1
2,4,5,0.806,3.2,11,1,11,1
3,4,6,0.859,5.7,12,1,11,1
3,4,5,0.826,6.8,13,1,11,1
3,4,5,0.809,8.5,14,1,11,1
3,4,5,0.808,8.5,15,1,11,1
3,4,5,0.811,9.4,16,1,11,1
2,4,5,0.797,10.9,17,1,11,1
2,4,5,0.792,8.7,18,1,11,1
3,4,5,0.809,6.1,19,1,11,1
2,4,5,0.786,5.1,20,1,11,1
2,3,4,0.769,2.9,21,1,11,1
2,2,3,0.576,1.5,22,1,11,1
1,2,2,0.411,3.2,23,1,11,1
1,1,2,0.357,1.2,24,1,11,1
1,1,2,0.365,0.9,1,2,12,1
1,1,2,0.36,0.4,2,2,12,1
1,1,2,0.35,0.9,3,2,12,1
1,1,2,0.353,1.8,4,2,12,1
1,1,2,0.34,2.5,5,2,12,1
1,1,2,0.359,3,6,2,12,1
1,2,3,0.519,0.4,7,2,12,1
2,2,3,0.621,0.7,8,2,12,1
2,3,5,0.775,2.9,9,2,12,1
3,4,6,0.832,4.2,10,2,12,1
3,4,6,0.833,6.4,11,2,12,1
3,4,5,0.811,7.3,12,2,12,1
2,4,5,0.797,7.2,13,2,12,1
2,4,5,0.805,7.5,14,2,12,1
2,4,5,0.8,7,15,2,12,1
2,4,5,0.797,6.9,16,2,12,1
2,4,5,0.782,6.3,17,2,12,1
2,3,4,0.77,5.9,18,2,12,1
2,3,5,0.774,5.4,19,2,12,1
2,3,4,0.763,5.2,20,2,12,1
2,3,4,0.728,5.1,21,2,12,1
2,2,3,0.571,3.6,22,2,12,1
1,2,2,0.403,3.4,23,2,12,1
1,2,2,0.369,2.4,24,2,12,1
1,2,2,0.376,2.1,1,3,13,1
1,2,2,0.383,1.5,2,3,13,1
1,2,2,0.366,2.2,3,3,13,1
1,2,2,0.369,2,4,3,13,1
1,1,2,0.348,3.2,5,3,13,1
1,1,2,0.341,2.8,6,3,13,1
2,2,3,0.558,2.5,7,3,13,1
2,3,3,0.667,2,8,3,13,1
2,3,4,0.747,1.8,9,3,13,1
3,4,5,0.826,3.4,10,3,13,1
2,4,5,0.805,4.8,11,3,13,1
3,4,5,0.82,6.5,12,3,13,1
3,4,6,0.855,8.9,13,3,13,1
3,4,6,0.84,9.3,14,3,13,1
3,4,5,0.814,9.5,15,3,13,1
3,4,5,0.815,9.9,16,3,13,1
3,4,5,0.824,9.9,17,3,13,1
3,4,5,0.818,8.4,18,3,13,1
2,4,5,0.805,3.6,19,3,13,1
2,4,5,0.796,3.2,20,3,13,1
2,3,5,0.777,2.3,21,3,13,1
2,2,3,0.601,-0.2,22,3,13,1
1,2,3,0.442,0.5,23,3,13,1
1,2,2,0.399,0.2,24,3,13,1
1,2,2,0.393,-0.7,1,4,14,1
1,2,2,0.407,0.5,2,4,14,1
1,2,2,0.4,1.6,3,4,14,1
1,2,2,0.39,1.8,4,4,14,1
1,2,2,0.388,1.3,5,4,14,1
1,2,2,0.394,1.1,6,4,14,1
2,2,3,0.568,0.6,7,4,14,1
2,3,4,0.712,0.5,8,4,14,1
2,4,5,0.798,0.5,9,4,14,1
3,4,6,0.867,1.2,10,4,14,1
3,4,6,0.846,2.9,11,4,14,1
3,4,6,0.862,5.2,12,4,14,1
3,4,6,0.868,7.1,13,4,14,1
3,5,6,0.876,7.7,14,4,14,1
3,4,5,0.809,9.1,15,4,14,1
3,4,5,0.815,9.9,16,4,14,1
2,4,5,0.804,9.8,17,4,14,1
3,4,5,0.813,8.5,18,4,14,1
3,4,5,0.815,5.8,19,4,14,1
2,4,5,0.792,4.2,20,4,14,1
2,3,4,0.764,2,21,4,14,1
2,2,3,0.606,2.6,22,4,14,1
1,2,3,0.429,2,23,4,14,1
1,2,2,0.38,-2,24,4,14,1
1,1,2,0.359,-3,1,5,15,1
1,1,2,0.344,-3.9,2,5,15,1
1,1,1,0.315,-4.2,3,5,15,1
1,1,1,0.331,-5.3,4,5,15,1
1,1,1,0.334,-2.2,5,5,15,1
1,2,2,0.382,-3.6,6,5,15,1
2,2,3,0.591,-2.2,7,5,15,1
2,3,4,0.721,-2,8,5,15,1
3,4,5,0.811,-1.9,9,5,15,1
3,4,6,0.859,-1.5,10,5,15,1
3,5,6,0.888,-1,11,5,15,1
3,5,6,0.879,-0.7,12,5,15,1
3,5,6,0.884,1,13,5,15,1
3,5,6,0.882,0.8,14,5,15,1
3,4,6,0.872,1.6,15,5,15,1
3,4,6,0.848,2.5,16,5,15,1
3,5,6,0.895,2.7,17,5,15,1
3,5,6,0.934,2.4,18,5,15,1
3,5,6,0.899,1.8,19,5,15,1
3,5,6,0.891,1.8,20,5,15,1
3,4,6,0.854,1.8,21,5,15,1
2,2,3,0.62,1.8,22,5,15,1
1,2,2,0.423,1.6,23,5,15,1
1,2,2,0.366,1.6,24,5,15,1
1,1,2,0.353,1.6,1,6,16,1
1,1,2,0.354,1.6,2,6,16,1
1,1,2,0.343,1.7,3,6,16,1
1,1,2,0.349,1.8,4,6,16,1
1,1,1,0.334,1.9,5,6,16,1
1,1,2,0.343,2.1,6,6,16,1
2,2,3,0.577,2.2,7,6,16,1
2,3,4,0.707,2,8,6,16,1
3,5,6,0.885,1.7,9,6,16,1
3,5,6,0.905,1.7,10,6,16,1
3,5,6,0.923,1.8,11,6,16,1
3,5,6,0.899,2,12,6,16,1
3,5,7,0.969,2.4,13,6,16,1
3,5,7,0.978,2.5,14,6,16,1
3,5,7,0.974,2.2,15,6,16,1
3,5,7,0.98,1.9,16,6,16,1
3,5,7,0.949,1.1,17,6,16,1
3,5,7,0.947,1.2,18,6,16,1
3,5,6,0.924,1.7,19,6,16,1
3,5,6,0.898,0.8,20,6,16,1
3,4,6,0.844,0.3,21,6,16,1
2,2,3,0.611,0.4,22,6,16,1
1,2,2,0.388,0.3,23,6,16,1
1,1,1,0.313,0.1,24,6,16,1
1,1,1,0.285,0.1,1,7,17,1
1,1,1,0.282,0,2,7,17,1
1,1,1,0.285,-0.9,3,7,17,1
1,1,1,0.261,-1.1,4,7,17,1
1,1,1,0.264,-1.3,5,7,17,1
1,1,1,0.315,-1.4,6,7,17,1
1,2,3,0.453,-1.6,7,7,17,1
2,2,3,0.6,-2,8,7,17,1
2,4,5,0.795,-2.3,9,7,17,1
3,4,6,0.847,-2.4,10,7,17,1
3,4,6,0.854,-2.3,11,7,17,1
3,4,6,0.873,-2.3,12,7,17,1
3,4,6,0.829,-2.4,13,7,17,1
3,4,6,0.845,-2.6,14,7,17,1
3,4,6,0.849,-2.6,15,7,17,1
3,4,6,0.849,-1.9,16,7,17,1
3,4,5,0.808,-2.1,17,7,17,1
3,4,6,0.829,-2.7,18,7,17,1
2,3,5,0.771,-2.7,19,7,17,1
2,3,4,0.679,-2.9,20,7,17,1
2,3,3,0.64,-3.1,21,7,17,1
1,2,3,0.518,-2.9,22,7,17,1
1,1,2,0.346,-3.2,23,7,17,1
1,1,1,0.293,-3.3,24,7,17,1
1,1,1,0.291,-3.1,1,1,18,1
1,1,1,0.267,-3,2,1,18,1
1,1,1,0.276,-3,3,1,18,1
1,1,1,0.271,-3.2,4,1,18,1
1,1,1,0.269,-3.3,5,1,18,1
1,1,1,0.284,-3.3,6,1,18,1
1,2,3,0.523,-3.6,7,1,18,1
2,3,3,0.648,-3.8,8,1,18,1
3,4,5,0.807,-4.4,9,1,18,1
2,4,5,0.805,-4.4,10,1,18,1
3,4,6,0.839,-3.4,11,1,18,1
3,4,6,0.834,-2.6,12,1,18,1
3,4,6,0.838,-1.8,13,1,18,1
3,4,5,0.817,-1.4,14,1,18,1
2,4,5,0.802,-1.4,15,1,18,1
2,4,5,0.786,-1.5,16,1,18,1
3,4,5,0.814,-1.9,17,1,18,1
2,4,5,0.796,-3.1,18,1,18,1
2,4,5,0.794,-3.5,19,1,18,1
3,4,5,0.813,-4,20,1,18,1
2,3,5,0.779,-6.7,21,1,18,1
2,2,3,0.585,-8.1,22,1,18,1
1,2,2,0.388,-9.7,23,1,18,1
1,1,1,0.33,-10.8,24,1,18,1
1,1,1,0.317,-12.4,1,2,19,1
1,1,1,0.314,-10.6,2,2,19,1
1,1,1,0.304,-13.7,3,2,19,1
1,1,1,0.309,-14.1,4,2,19,1
1,1,1,0.3,-16,5,2,19,1
1,1,1,0.314,-15.9,6,2,19,1
2,2,3,0.547,-16.8,7,2,19,1
2,3,3,0.656,-17.7,8,2,19,1
2,4,5,0.799,-18.8,9,2,19,1
3,4,6,0.871,-16.8,10,2,19,1
3,4,6,0.867,-9.5,11,2,19,1
3,5,6,0.883,-8.2,12,2,19,1
3,4,6,0.857,-8.2,13,2,19,1
3,4,6,0.871,-5.9,14,2,19,1
3,5,6,0.88,-5.4,15,2,19,1
3,5,6,0.889,-4.7,16,2,19,1
3,4,6,0.858,-7.4,17,2,19,1
3,4,6,0.854,-9,18,2,19,1
3,4,6,0.839,-11.6,19,2,19,1
3,4,6,0.84,-12.5,20,2,19,1
2,4,5,0.803,-15.3,21,2,19,1
2,2,3,0.569,-16.3,22,2,19,1
1,1,2,0.351,-18.1,23,2,19,1
1,1,1,0.293,-18.3,24,2,19,1
1,1,1,0.282,-19,1,3,20,1
1,1,1,0.282,-19.4,2,3,20,1
1,1,1,0.296,-19.8,3,3,20,1
1,1,1,0.302,-20.4,4,3,20,1
1,1,1,0.294,-20.5,5,3,20,1
1,1,1,0.319,-21.2,6,3,20,1
2,2,3,0.541,-20.5,7,3,20,1
2,3,3,0.652,-20.3,8,3,20,1
3,4,6,0.841,-21.8,9,3,20,1
3,4,6,0.836,-19.7,10,3,20,1
3,4,6,0.849,-14.6,11,3,20,1
3,4,6,0.873,-11.6,12,3,20,1
3,5,6,0.895,-8.2,13,3,20,1
3,5,6,0.921,-6.4,14,3,20,1
3,5,7,0.972,-6.5,15,3,20,1
3,5,6,0.923,-6.9,16,3,20,1
3,5,6,0.929,-7.2,17,3,20,1
3,5,6,0.917,-8.6,18,3,20,1
3,5,6,0.886,-11,19,3,20,1
3,5,6,0.877,-11.9,20,3,20,1
3,4,6,0.829,-12.7,21,3,20,1
2,2,3,0.573,-14,22,3,20,1
1,2,2,0.401,-15.1,23,3,20,1
1,1,2,0.352,-15.9,24,3,20,1
1,1,2,0.351,-16.1,1,4,21,1
1,1,2,0.348,-17.1,2,4,21,1
1,1,2,0.338,-16.1,3,4,21,1
1,1,2,0.346,-16.5,4,4,21,1
1,1,2,0.343,-14.9,5,4,21,1
1,2,2,0.366,-15.4,6,4,21,1
2,2,3,0.56,-16.5,7,4,21,1
2,3,3,0.671,-16.6,8,4,21,1
3,4,6,0.83,-17.2,9,4,21,1
3,5,6,0.882,-16.9,10,4,21,1
3,5,7,0.935,-16,11,4,21,1
3,5,7,0.942,-14.3,12,4,21,1
3,5,7,0.95,-11.9,13,4,21,1
3,5,7,0.936,-9.9,14,4,21,1
3,5,6,0.901,-8.9,15,4,21,1
3,5,6,0.887,-7.9,16,4,21,1
3,4,6,0.868,-8.2,17,4,21,1
3,4,6,0.852,-9.7,18,4,21,1
3,4,6,0.848,-9.9,19,4,21,1
3,4,6,0.843,-10,20,4,21,1
3,4,5,0.816,-10.5,21,4,21,1
2,2,3,0.594,-11.7,22,4,21,1
1,2,2,0.39,-11,23,4,21,1
1,1,1,0.324,-13.7,24,4,21,1
1,1,1,0.325,-14.4,1,5,22,1
1,1,1,0.334,-11.1,2,5,22,1
1,1,1,0.32,-13.5,3,5,22,1
1,1,2,0.339,-11.6,4,5,22,1
1,1,2,0.348,-11.2,5,5,22,1
1,1,1,0.333,-11.7,6,5,22,1
2,2,3,0.533,-13.7,7,5,22,1
2,3,3,0.667,-15.5,8,5,22,1
3,5,6,0.882,-14.4,9,5,22,1
3,5,6,0.914,-10.8,10,5,22,1
3,5,6,0.889,-8,11,5,22,1
3,5,6,0.888,-6.8,12,5,22,1
3,5,6,0.912,-3.4,13,5,22,1
3,5,6,0.923,-3.7,14,5,22,1
3,5,6,0.896,-2.4,15,5,22,1
3,5,6,0.876,-2,16,5,22,1
3,5,6,0.876,-2.4,17,5,22,1
3,4,6,0.873,-3.4,18,5,22,1
3,5,6,0.883,-5.7,19,5,22,1
3,4,6,0.872,-6.5,20,5,22,1
2,4,5,0.799,-11,21,5,22,1
2,2,3,0.589,-12.1,22,5,22,1
1,2,2,0.385,-13.7,23,5,22,1
1,1,1,0.323,-14.6,24,5,22,1
1,1,1,0.323,-15.4,1,6,23,1
1,1,1,0.326,-15.5,2,6,23,1
1,1,1,0.323,-16.2,3,6,23,1
1,1,1,0.325,-16.8,4,6,23,1
1,1,1,0.333,-16.5,5,6,23,1
1,2,2,0.381,-17.3,6,6,23,1
2,2,3,0.536,-18.4,7,6,23,1
2,3,3,0.672,-18.8,8,6,23,1
2,4,5,0.801,-19.5,9,6,23,1
3,5,6,0.913,-17.5,10,6,23,1
3,5,7,0.988,-11.3,11,6,23,1
3,5,7,0.97,-9.5,12,6,23,1
3,5,7,0.971,-6.9,13,6,23,1
3,5,7,1.011,-7,14,6,23,1
3,5,7,0.999,-6.3,15,6,23,1
3,5,7,0.965,-5.5,16,6,23,1
3,5,7,1.012,-7,17,6,23,1
3,5,7,0.967,-7.9,18,6,23,1
3,5,7,0.957,-9.9,19,6,23,1
3,5,7,0.942,-11.1,20,6,23,1
3,5,6,0.908,-12.7,21,6,23,1
2,2,3,0.603,-15.2,22,6,23,1
1,2,2,0.368,-14.7,23,6,23,1
1,1,1,0.308,-14.2,24,6,23,1
1,1,1,0.283,-14.4,1,7,24,1
1,1,1,0.287,-15.1,2,7,24,1
1,1,1,0.289,-16.1,3,7,24,1
1,1,1,0.282,-18.2,4,7,24,1
1,1,1,0.289,-17.9,5,7,24,1
1,2,2,0.376,-17.3,6,7,24,1
1,2,3,0.504,-17.6,7,7,24,1
2,3,3,0.666,-18,8,7,24,1
3,4,5,0.822,-18.3,9,7,24,1
3,5,6,0.884,-16.7,10,7,24,1
3,5,6,0.933,-16.3,11,7,24,1
3,5,6,0.916,-12.7,12,7,24,1
3,5,6,0.904,-10,13,7,24,1
3,5,7,0.974,-7.8,14,7,24,1
3,5,7,0.96,-6.1,15,7,24,1
3,5,7,0.965,-6,16,7,24,1
3,5,7,0.94,-6.3,17,7,24,1
3,5,7,0.942,-7.8,18,7,24,1
3,5,6,0.915,-9.6,19,7,24,1
3,4,6,0.863,-11.2,20,7,24,1
2,3,4,0.725,-12.1,21,7,24,1
2,2,3,0.607,-12.2,22,7,24,1
1,2,2,0.382,-13.5,23,7,24,1
1,1,1,0.307,-15.1,24,7,24,1
1,1,1,0.286,-16.4,1,1,25,1
1,1,1,0.288,-17,2,1,25,1
1,1,1,0.294,-17.6,3,1,25,1
1,1,1,0.298,-17.7,4,1,25,1
1,1,1,0.295,-15.4,5,1,25,1
1,1,2,0.337,-14.3,6,1,25,1
1,2,3,0.52,-15.3,7,1,25,1
2,3,3,0.638,-13.3,8,1,25,1
2,4,5,0.792,-11.8,9,1,25,1
3,4,5,0.811,-11.4,10,1,25,1
3,5,6,0.901,-10.4,11,1,25,1
3,5,6,0.929,-8.6,12,1,25,1
3,5,6,0.92,-6.5,13,1,25,1
3,5,6,0.9,-5.4,14,1,25,1
3,5,7,0.949,-5,15,1,25,1
3,5,6,0.894,-4.7,16,1,25,1
3,5,6,0.876,-4.8,17,1,25,1
3,5,6,0.919,-6.4,18,1,25,1
3,5,6,0.922,-7.8,19,1,25,1
3,4,6,0.858,-8.7,20,1,25,1
2,4,5,0.792,-9,21,1,25,1
2,2,3,0.596,-9.4,22,1,25,1
1,2,2,0.371,-8.2,23,1,25,1
1,1,1,0.314,-7.9,24,1,25,1
1,1,1,0.305,-7.4,1,2,26,1
1,1,1,0.31,-6.1,2,2,26,1
1,1,1,0.301,-5.5,3,2,26,1
1,1,1,0.3,-4,4,2,26,1
1,1,1,0.295,-4,5,2,26,1
1,1,1,0.323,-4.2,6,2,26,1
2,2,3,0.535,-4.3,7,2,26,1
2,3,3,0.662,-4.7,8,2,26,1
3,4,5,0.817,-5,9,2,26,1
3,5,6,0.892,-5.4,10,2,26,1
3,5,6,0.889,-2,11,2,26,1
3,4,6,0.859,0.2,12,2,26,1
3,4,6,0.858,2.9,13,2,26,1
3,4,6,0.835,2.5,14,2,26,1
3,4,6,0.873,3.5,15,2,26,1
3,4,6,0.83,2.4,16,2,26,1
3,4,6,0.844,2.2,17,2,26,1
3,4,6,0.842,1.3,18,2,26,1
3,4,6,0.838,-0.9,19,2,26,1
